
Statistical table extracted on October 25, 2024 (09:35:52)
http://www.ine.pt



Data reference period;Geographic localization;Disembarked passengers (No.) in airports by Geographic localization, Type of traffic and Nature of traffic -  Monthly;
;;Type of traffic;
;;Total;
;;Nature of traffic;
;;Total;
;;No. ;
May 2004;LPPT: Lisboa;452130;
April 2004;LPPT: Lisboa;479203;
March 2004;LPPT: Lisboa;371689;
February 2004;LPPT: Lisboa;328829;
January 2004;LPPT: Lisboa;329977;
December 1999;LPPT: Lisboa;x x;
November 1999;LPPT: Lisboa;x x;
October 1999;LPPT: Lisboa;x x;
September 1999;LPPT: Lisboa;x x;
August 1999;LPPT: Lisboa;x x;
July 1999;LPPT: Lisboa;x x;
June 1999;LPPT: Lisboa;x x;
May 1999;LPPT: Lisboa;x x;
April 1999;LPPT: Lisboa;x x;
March 1999;LPPT: Lisboa;x x;
February 1999;LPPT: Lisboa;x x;
January 1999;LPPT: Lisboa;x x;
December 1998;LPPT: Lisboa;x x;
November 1998;LPPT: Lisboa;x x;
October 1998;LPPT: Lisboa;x x;
September 1998;LPPT: Lisboa;x x;
August 1998;LPPT: Lisboa;x x;
July 1998;LPPT: Lisboa;x x;
June 1998;LPPT: Lisboa;x x;
May 1998;LPPT: Lisboa;x x;
April 1998;LPPT: Lisboa;x x;
March 1998;LPPT: Lisboa;x x;
February 1998;LPPT: Lisboa;x x;
January 1998;LPPT: Lisboa;x x;
December 1997;LPPT: Lisboa;x x;
November 1997;LPPT: Lisboa;x x;
October 1997;LPPT: Lisboa;x x;
September 1997;LPPT: Lisboa;x x;
August 1997;LPPT: Lisboa;x x;
July 1997;LPPT: Lisboa;x x;
June 1997;LPPT: Lisboa;x x;
May 1997;LPPT: Lisboa;x x;
April 1997;LPPT: Lisboa;x x;
March 1997;LPPT: Lisboa;x x;
February 1997;LPPT: Lisboa;x x;
January 1997;LPPT: Lisboa;x x;
December 1996;LPPT: Lisboa;x x;
November 1996;LPPT: Lisboa;x x;
October 1996;LPPT: Lisboa;x x;
September 1996;LPPT: Lisboa;x x;
August 1996;LPPT: Lisboa;x x;
July 1996;LPPT: Lisboa;x x;
June 1996;LPPT: Lisboa;x x;
May 1996;LPPT: Lisboa;x x;
April 1996;LPPT: Lisboa;x x;
March 1996;LPPT: Lisboa;x x;
February 1996;LPPT: Lisboa;x x;
January 1996;LPPT: Lisboa;x x;
December 1995;LPPT: Lisboa;x x;
November 1995;LPPT: Lisboa;x x;
October 1995;LPPT: Lisboa;x x;
September 1995;LPPT: Lisboa;x x;
August 1995;LPPT: Lisboa;x x;
July 1995;LPPT: Lisboa;x x;
June 1995;LPPT: Lisboa;x x;
May 1995;LPPT: Lisboa;x x;
April 1995;LPPT: Lisboa;x x;
March 1995;LPPT: Lisboa;x x;
February 1995;LPPT: Lisboa;x x;
January 1995;LPPT: Lisboa;x x;
December 1994;LPPT: Lisboa;x x;
November 1994;LPPT: Lisboa;x x;
October 1994;LPPT: Lisboa;x x;
September 1994;LPPT: Lisboa;x x;
August 1994;LPPT: Lisboa;x x;
July 1994;LPPT: Lisboa;x x;
June 1994;LPPT: Lisboa;x x;
May 1994;LPPT: Lisboa;x x;
April 1994;LPPT: Lisboa;x x;
March 1994;LPPT: Lisboa;x x;
February 1994;LPPT: Lisboa;x x;
January 1994;LPPT: Lisboa;x x;
December 1993;LPPT: Lisboa;x x;
November 1993;LPPT: Lisboa;x x;
October 1993;LPPT: Lisboa;x x;
September 1993;LPPT: Lisboa;x x;
August 1993;LPPT: Lisboa;x x;
July 1993;LPPT: Lisboa;x x;
June 1993;LPPT: Lisboa;x x;
May 1993;LPPT: Lisboa;x x;
April 1993;LPPT: Lisboa;x x;
March 1993;LPPT: Lisboa;x x;
February 1993;LPPT: Lisboa;x x;
January 1993;LPPT: Lisboa;x x;
December 1992;LPPT: Lisboa;x x;
November 1992;LPPT: Lisboa;x x;
October 1992;LPPT: Lisboa;x x;
September 1992;LPPT: Lisboa;x x;
August 1992;LPPT: Lisboa;x x;
July 1992;LPPT: Lisboa;x x;
June 1992;LPPT: Lisboa;x x;
May 1992;LPPT: Lisboa;x x;
April 1992;LPPT: Lisboa;x x;
March 1992;LPPT: Lisboa;x x;
February 1992;LPPT: Lisboa;x x;
January 1992;LPPT: Lisboa;x x;
December 1991;LPPT: Lisboa;x x;
November 1991;LPPT: Lisboa;x x;
October 1991;LPPT: Lisboa;x x;
September 1991;LPPT: Lisboa;x x;
August 1991;LPPT: Lisboa;x x;
July 1991;LPPT: Lisboa;x x;
June 1991;LPPT: Lisboa;x x;
May 1991;LPPT: Lisboa;x x;
April 1991;LPPT: Lisboa;x x;
March 1991;LPPT: Lisboa;x x;
February 1991;LPPT: Lisboa;x x;
January 1991;LPPT: Lisboa;x x;
December 1990;LPPT: Lisboa;x x;
November 1990;LPPT: Lisboa;x x;
October 1990;LPPT: Lisboa;x x;
September 1990;LPPT: Lisboa;x x;
August 1990;LPPT: Lisboa;x x;
July 1990;LPPT: Lisboa;x x;
June 1990;LPPT: Lisboa;x x;
May 1990;LPPT: Lisboa;x x;
April 1990;LPPT: Lisboa;x x;
March 1990;LPPT: Lisboa;x x;
February 1990;LPPT: Lisboa;x x;
January 1990;LPPT: Lisboa;x x;
December 1989;LPPT: Lisboa;155090;
November 1989;LPPT: Lisboa;143314;
October 1989;LPPT: Lisboa;195584;
September 1989;LPPT: Lisboa;244885;
August 1989;LPPT: Lisboa;240543;
July 1989;LPPT: Lisboa;262198;
June 1989;LPPT: Lisboa;192758;
May 1989;LPPT: Lisboa;193837;
April 1989;LPPT: Lisboa;175660;
March 1989;LPPT: Lisboa;170124;
February 1989;LPPT: Lisboa;119593;
January 1989;LPPT: Lisboa;133398;
December 1988;LPPT: Lisboa;143339;
November 1988;LPPT: Lisboa;126942;
October 1988;LPPT: Lisboa;175861;
September 1988;LPPT: Lisboa;211342;
August 1988;LPPT: Lisboa;223788;
July 1988;LPPT: Lisboa;234785;
June 1988;LPPT: Lisboa;177321;
May 1988;LPPT: Lisboa;176329;
April 1988;LPPT: Lisboa;160596;
March 1988;LPPT: Lisboa;145536;
February 1988;LPPT: Lisboa;110779;
January 1988;LPPT: Lisboa;113290;
December 1987;LPPT: Lisboa;126710;
November 1987;LPPT: Lisboa;115586;
October 1987;LPPT: Lisboa;157829;
September 1987;LPPT: Lisboa;191890;
August 1987;LPPT: Lisboa;205404;
July 1987;LPPT: Lisboa;203015;
June 1987;LPPT: Lisboa;160019;
May 1987;LPPT: Lisboa;157609;
April 1987;LPPT: Lisboa;152625;
March 1987;LPPT: Lisboa;126847;
February 1987;LPPT: Lisboa;89940;
January 1987;LPPT: Lisboa;99564;
December 1986;LPPT: Lisboa;118737;
November 1986;LPPT: Lisboa;102305;
October 1986;LPPT: Lisboa;142074;
September 1986;LPPT: Lisboa;182688;
August 1986;LPPT: Lisboa;194345;
July 1986;LPPT: Lisboa;198674;
June 1986;LPPT: Lisboa;151726;
May 1986;LPPT: Lisboa;138286;
April 1986;LPPT: Lisboa;124498;
March 1986;LPPT: Lisboa;127463;
February 1986;LPPT: Lisboa;85927;
January 1986;LPPT: Lisboa;93425;
December 1985;LPPT: Lisboa;107232;
November 1985;LPPT: Lisboa;98289;
October 1985;LPPT: Lisboa;139221;
September 1985;LPPT: Lisboa;169534;
August 1985;LPPT: Lisboa;188363;
July 1985;LPPT: Lisboa;191859;
June 1985;LPPT: Lisboa;152058;
May 1985;LPPT: Lisboa;135264;
April 1985;LPPT: Lisboa;130012;
March 1985;LPPT: Lisboa;117900;
February 1985;LPPT: Lisboa;83454;
January 1985;LPPT: Lisboa;91465;
December 1984;LPPT: Lisboa;x x;
November 1984;LPPT: Lisboa;x x;
October 1984;LPPT: Lisboa;x x;
September 1984;LPPT: Lisboa;x x;
August 1984;LPPT: Lisboa;x x;
July 1984;LPPT: Lisboa;x x;
June 1984;LPPT: Lisboa;x x;
May 1984;LPPT: Lisboa;x x;
April 1984;LPPT: Lisboa;x x;
March 1984;LPPT: Lisboa;x x;
February 1984;LPPT: Lisboa;x x;
January 1984;LPPT: Lisboa;x x;
December 1983;LPPT: Lisboa;x x;
November 1983;LPPT: Lisboa;x x;
October 1983;LPPT: Lisboa;x x;
September 1983;LPPT: Lisboa;x x;
August 1983;LPPT: Lisboa;x x;
July 1983;LPPT: Lisboa;x x;
June 1983;LPPT: Lisboa;x x;
May 1983;LPPT: Lisboa;x x;
April 1983;LPPT: Lisboa;x x;
March 1983;LPPT: Lisboa;x x;
February 1983;LPPT: Lisboa;x x;
January 1983;LPPT: Lisboa;x x;
December 1982;LPPT: Lisboa;98549;
November 1982;LPPT: Lisboa;80154;
October 1982;LPPT: Lisboa;130941;
September 1982;LPPT: Lisboa;161984;
August 1982;LPPT: Lisboa;179318;
July 1982;LPPT: Lisboa;187585;
June 1982;LPPT: Lisboa;133358;
May 1982;LPPT: Lisboa;132347;
April 1982;LPPT: Lisboa;125878;
March 1982;LPPT: Lisboa;105405;
February 1982;LPPT: Lisboa;76946;
January 1982;LPPT: Lisboa;87154;
December 1981;LPPT: Lisboa;106336;
November 1981;LPPT: Lisboa;87660;
October 1981;LPPT: Lisboa;129920;
September 1981;LPPT: Lisboa;159776;
August 1981;LPPT: Lisboa;176274;
July 1981;LPPT: Lisboa;178320;
June 1981;LPPT: Lisboa;132419;
May 1981;LPPT: Lisboa;128733;
April 1981;LPPT: Lisboa;124615;
March 1981;LPPT: Lisboa;93328;
February 1981;LPPT: Lisboa;71728;
January 1981;LPPT: Lisboa;85338;
December 1980;LPPT: Lisboa;98046;
November 1980;LPPT: Lisboa;88743;
October 1980;LPPT: Lisboa;123777;
September 1980;LPPT: Lisboa;155298;
August 1980;LPPT: Lisboa;163674;
July 1980;LPPT: Lisboa;146806;
June 1980;LPPT: Lisboa;119469;
May 1980;LPPT: Lisboa;121549;
April 1980;LPPT: Lisboa;119545;
March 1980;LPPT: Lisboa;109905;
February 1980;LPPT: Lisboa;65317;
January 1980;LPPT: Lisboa;87943;
December 1979;LPPT: Lisboa;87053;
November 1979;LPPT: Lisboa;90430;
October 1979;LPPT: Lisboa;130042;
September 1979;LPPT: Lisboa;159059;
August 1979;LPPT: Lisboa;161269;
July 1979;LPPT: Lisboa;173655;
June 1979;LPPT: Lisboa;136287;
May 1979;LPPT: Lisboa;128396;
April 1979;LPPT: Lisboa;127332;
March 1979;LPPT: Lisboa;101195;
February 1979;LPPT: Lisboa;74603;
January 1979;LPPT: Lisboa;91627;
December 1978;LPPT: Lisboa;102901;
November 1978;LPPT: Lisboa;85885;
October 1978;LPPT: Lisboa;122606;
September 1978;LPPT: Lisboa;151267;
August 1978;LPPT: Lisboa;151908;
